Lmod has detected the following error: The following module(s) are unknown:
"python/3.10"

Please check the spelling or version number. Also try "module spider ..."
It is also possible your cache file is out-of-date; it may help to try:
  $ module --ignore_cache load "python/3.10"

Also make sure that all modulefiles written in TCL start with the string
#%Module



[INFO] CNN+BiLSTM | TRAIN=130703 | VAL=2804
=== DEVICE: cuda ===
=== START TRAIN ===
[E01] b0000 | loss=1.6075 | acc=0.219
[E01] b0010 | loss=1.3246 | acc=0.367
[E01] b0020 | loss=1.1643 | acc=0.523
[E01] b0030 | loss=0.9232 | acc=0.648
[E01] b0040 | loss=0.8577 | acc=0.758
[E01] b0050 | loss=0.8889 | acc=0.680
[E01] b0060 | loss=0.7649 | acc=0.711
[E01] b0070 | loss=0.7955 | acc=0.703
[E01] b0080 | loss=0.8193 | acc=0.719
[E01] b0090 | loss=0.7553 | acc=0.758
[E01] b0100 | loss=0.7604 | acc=0.773
[E01] b0110 | loss=0.8142 | acc=0.758
[E01] b0120 | loss=0.7650 | acc=0.695
[E01] b0130 | loss=0.6077 | acc=0.812
[E01] b0140 | loss=0.8444 | acc=0.672
[E01] b0150 | loss=0.7879 | acc=0.750
[E01] b0160 | loss=0.7234 | acc=0.734
[E01] b0170 | loss=0.8128 | acc=0.742
[E01] b0180 | loss=0.7018 | acc=0.781
[E01] b0190 | loss=0.7651 | acc=0.711
[E01] b0200 | loss=0.7039 | acc=0.797
[E01] b0210 | loss=0.8109 | acc=0.711
[E01] b0220 | loss=0.6765 | acc=0.734
[E01] b0230 | loss=0.8198 | acc=0.719
[E01] b0240 | loss=0.6921 | acc=0.805
[E01] b0250 | loss=0.6960 | acc=0.758
[E01] b0260 | loss=0.6092 | acc=0.836
[E01] b0270 | loss=0.7708 | acc=0.727
[E01] b0280 | loss=0.5910 | acc=0.820
[E01] b0290 | loss=0.6547 | acc=0.797
[E01] b0300 | loss=0.7071 | acc=0.742
[E01] b0310 | loss=0.6214 | acc=0.797
[E01] b0320 | loss=0.7940 | acc=0.695
[E01] b0330 | loss=0.7062 | acc=0.773
[E01] b0340 | loss=0.8031 | acc=0.750
[E01] b0350 | loss=0.6968 | acc=0.805
[E01] b0360 | loss=0.7213 | acc=0.742
[E01] b0370 | loss=0.7244 | acc=0.758
[E01] b0380 | loss=0.6376 | acc=0.820
[E01] b0390 | loss=0.4972 | acc=0.898
[E01] b0400 | loss=0.6349 | acc=0.758
[E01] b0410 | loss=0.5989 | acc=0.820
[E01] b0420 | loss=0.6621 | acc=0.789
[E01] b0430 | loss=0.6394 | acc=0.812
[E01] b0440 | loss=0.7347 | acc=0.781
[E01] b0450 | loss=0.5894 | acc=0.828
[E01] b0460 | loss=0.6065 | acc=0.812
[E01] b0470 | loss=0.6338 | acc=0.773
[E01] b0480 | loss=0.6074 | acc=0.820
[E01] b0490 | loss=0.5763 | acc=0.812
[E01] b0500 | loss=0.6908 | acc=0.805
[E01] b0510 | loss=0.5998 | acc=0.805
[E01] b0520 | loss=0.7653 | acc=0.719
[E01] b0530 | loss=0.7401 | acc=0.750
[E01] b0540 | loss=0.7569 | acc=0.758
[E01] b0550 | loss=0.5842 | acc=0.836
[E01] b0560 | loss=0.6609 | acc=0.820
[E01] b0570 | loss=0.6074 | acc=0.867
[E01] b0580 | loss=0.5756 | acc=0.836
[E01] b0590 | loss=0.6948 | acc=0.758
[E01] b0600 | loss=0.5257 | acc=0.867
[E01] b0610 | loss=0.7066 | acc=0.773
[E01] b0620 | loss=0.5792 | acc=0.820
[E01] b0630 | loss=0.6268 | acc=0.773
[E01] b0640 | loss=0.6723 | acc=0.852
[E01] b0650 | loss=0.5406 | acc=0.859
[E01] b0660 | loss=0.6049 | acc=0.828
[E01] b0670 | loss=0.7108 | acc=0.789
[E01] b0680 | loss=0.5645 | acc=0.820
[E01] b0690 | loss=0.6138 | acc=0.852
[E01] b0700 | loss=0.5830 | acc=0.852
[E01] b0710 | loss=0.7351 | acc=0.727
[E01] b0720 | loss=0.6385 | acc=0.828
[E01] b0730 | loss=0.6095 | acc=0.828
[E01] b0740 | loss=0.6438 | acc=0.812
[E01] b0750 | loss=0.5760 | acc=0.852
[E01] b0760 | loss=0.5525 | acc=0.828
[E01] b0770 | loss=0.6069 | acc=0.828
[E01] b0780 | loss=0.6759 | acc=0.797
[E01] b0790 | loss=0.6884 | acc=0.773
[E01] b0800 | loss=0.6360 | acc=0.781
[E01] b0810 | loss=0.6892 | acc=0.805
[E01] b0820 | loss=0.5944 | acc=0.852
[E01] b0830 | loss=0.6032 | acc=0.828
[E01] b0840 | loss=0.5321 | acc=0.828
[E01] b0850 | loss=0.6479 | acc=0.773
[E01] b0860 | loss=0.6319 | acc=0.820
[E01] b0870 | loss=0.6748 | acc=0.789
[E01] b0880 | loss=0.5566 | acc=0.852
[E01] b0890 | loss=0.6806 | acc=0.805
[E01] b0900 | loss=0.6084 | acc=0.852
[E01] b0910 | loss=0.6120 | acc=0.797
[E01] b0920 | loss=0.6676 | acc=0.781
[E01] b0930 | loss=0.5899 | acc=0.836
[E01] b0940 | loss=0.6601 | acc=0.828
[E01] b0950 | loss=0.6082 | acc=0.805
[E01] b0960 | loss=0.5989 | acc=0.844
[E01] b0970 | loss=0.6447 | acc=0.797
[E01] b0980 | loss=0.6571 | acc=0.812
[E01] b0990 | loss=0.6022 | acc=0.820
[E01] b1000 | loss=0.5633 | acc=0.836
[E01] b1010 | loss=0.6414 | acc=0.812
[E01] b1020 | loss=0.5955 | acc=0.789
[E01] total_loss=700.338 | VAL acc=0.874 | F1=0.704 | kappa=0.761
[SAVE] New best BiLSTM (by F1)
[E02] b0000 | loss=0.7261 | acc=0.766
