[INFO] CNN+BiLSTM | TRAIN=130703 | VAL=2804
=== DEVICE: cuda ===
=== START TRAIN ===
[E01] b0000 | loss=1.6097 | acc=0.203
[E01] b0010 | loss=1.5337 | acc=0.344
[E01] b0020 | loss=1.4214 | acc=0.320
[E01] b0030 | loss=1.1928 | acc=0.508
[E01] b0040 | loss=1.0395 | acc=0.656
[E01] b0050 | loss=0.9241 | acc=0.625
[E01] b0060 | loss=0.8100 | acc=0.695
[E01] b0070 | loss=0.8003 | acc=0.773
[E01] b0080 | loss=0.8230 | acc=0.680
[E01] b0090 | loss=0.7803 | acc=0.719
[E01] b0100 | loss=0.7299 | acc=0.750
[E01] b0110 | loss=0.8131 | acc=0.742
[E01] b0120 | loss=0.8101 | acc=0.711
[E01] b0130 | loss=0.6963 | acc=0.797
[E01] b0140 | loss=0.8569 | acc=0.703
[E01] b0150 | loss=0.7709 | acc=0.766
[E01] b0160 | loss=0.7666 | acc=0.719
[E01] b0170 | loss=0.8198 | acc=0.711
[E01] b0180 | loss=0.7632 | acc=0.750
[E01] b0190 | loss=0.8334 | acc=0.719
[E01] b0200 | loss=0.7217 | acc=0.773
[E01] b0210 | loss=0.7656 | acc=0.758
[E01] b0220 | loss=0.6874 | acc=0.773
[E01] b0230 | loss=0.7938 | acc=0.695
[E01] b0240 | loss=0.7131 | acc=0.750
[E01] b0250 | loss=0.7027 | acc=0.773
[E01] b0260 | loss=0.5926 | acc=0.797
[E01] b0270 | loss=0.7585 | acc=0.781
[E01] b0280 | loss=0.6909 | acc=0.758
[E01] b0290 | loss=0.7235 | acc=0.750
[E01] b0300 | loss=0.6734 | acc=0.750
[E01] b0310 | loss=0.6904 | acc=0.742
[E01] b0320 | loss=0.8132 | acc=0.742
[E01] b0330 | loss=0.7218 | acc=0.758
[E01] b0340 | loss=0.7873 | acc=0.734
[E01] b0350 | loss=0.7003 | acc=0.797
[E01] b0360 | loss=0.7390 | acc=0.750
[E01] b0370 | loss=0.7170 | acc=0.734
[E01] b0380 | loss=0.6633 | acc=0.805
[E01] b0390 | loss=0.5395 | acc=0.867
[E01] b0400 | loss=0.6194 | acc=0.797
[E01] b0410 | loss=0.5929 | acc=0.852
[E01] b0420 | loss=0.7843 | acc=0.734
[E01] b0430 | loss=0.5931 | acc=0.844
[E01] b0440 | loss=0.8544 | acc=0.734
[E01] b0450 | loss=0.5717 | acc=0.828
[E01] b0460 | loss=0.6027 | acc=0.812
[E01] b0470 | loss=0.6409 | acc=0.789
[E01] b0480 | loss=0.6561 | acc=0.789
[E01] b0490 | loss=0.5220 | acc=0.852
[E01] b0500 | loss=0.6920 | acc=0.781
[E01] b0510 | loss=0.6003 | acc=0.852
[E01] b0520 | loss=0.7800 | acc=0.711
[E01] b0530 | loss=0.8135 | acc=0.688
[E01] b0540 | loss=0.6918 | acc=0.781
[E01] b0550 | loss=0.6301 | acc=0.805
[E01] b0560 | loss=0.6051 | acc=0.812
[E01] b0570 | loss=0.6382 | acc=0.844
[E01] b0580 | loss=0.6764 | acc=0.789
[E01] b0590 | loss=0.7367 | acc=0.711
[E01] b0600 | loss=0.5864 | acc=0.812
[E01] b0610 | loss=0.7075 | acc=0.750
[E01] b0620 | loss=0.6426 | acc=0.773
[E01] b0630 | loss=0.6833 | acc=0.727
[E01] b0640 | loss=0.6535 | acc=0.828
[E01] b0650 | loss=0.6012 | acc=0.820
[E01] b0660 | loss=0.6812 | acc=0.750
[E01] b0670 | loss=0.6687 | acc=0.797
[E01] b0680 | loss=0.6053 | acc=0.812
[E01] b0690 | loss=0.5459 | acc=0.883
[E01] b0700 | loss=0.5855 | acc=0.812
[E01] b0710 | loss=0.7283 | acc=0.727
[E01] b0720 | loss=0.6731 | acc=0.797
[E01] b0730 | loss=0.6347 | acc=0.812
[E01] b0740 | loss=0.6585 | acc=0.797
[E01] b0750 | loss=0.6085 | acc=0.805
[E01] b0760 | loss=0.6241 | acc=0.812
[E01] b0770 | loss=0.6276 | acc=0.820
[E01] b0780 | loss=0.6673 | acc=0.805
[E01] b0790 | loss=0.6820 | acc=0.812
[E01] b0800 | loss=0.6390 | acc=0.805
[E01] b0810 | loss=0.6978 | acc=0.789
[E01] b0820 | loss=0.6151 | acc=0.820
[E01] b0830 | loss=0.6464 | acc=0.766
[E01] b0840 | loss=0.5299 | acc=0.867
[E01] b0850 | loss=0.6439 | acc=0.781
[E01] b0860 | loss=0.6982 | acc=0.781
[E01] b0870 | loss=0.6497 | acc=0.805
[E01] b0880 | loss=0.5689 | acc=0.812
[E01] b0890 | loss=0.6811 | acc=0.820
[E01] b0900 | loss=0.6275 | acc=0.812
[E01] b0910 | loss=0.6629 | acc=0.797
[E01] b0920 | loss=0.6227 | acc=0.820
[E01] b0930 | loss=0.6307 | acc=0.805
[E01] b0940 | loss=0.7530 | acc=0.773
[E01] b0950 | loss=0.6510 | acc=0.805
[E01] b0960 | loss=0.6166 | acc=0.820
[E01] b0970 | loss=0.6466 | acc=0.766
[E01] b0980 | loss=0.6814 | acc=0.758
[E01] b0990 | loss=0.6167 | acc=0.852
[E01] b1000 | loss=0.5477 | acc=0.836
[E01] b1010 | loss=0.7088 | acc=0.766
[E01] b1020 | loss=0.6309 | acc=0.789
[E01] total_loss=726.342 | VAL acc=0.884 | F1=0.728 | kappa=0.779
[SAVE] New best BiLSTM (by F1)
[E02] b0000 | loss=0.7336 | acc=0.758
[E02] b0010 | loss=0.6160 | acc=0.812
[E02] b0020 | loss=0.6132 | acc=0.797
[E02] b0030 | loss=0.6448 | acc=0.805
[E02] b0040 | loss=0.6797 | acc=0.828
