Lmod has detected the following error: The following module(s) are unknown:
"python/3.10"

Please check the spelling or version number. Also try "module spider ..."
It is also possible your cache file is out-of-date; it may help to try:
  $ module --ignore_cache load "python/3.10"

Also make sure that all modulefiles written in TCL start with the string
#%Module



[INFO] Epoch-level CNN | TRAIN=130703 | VAL=2804
=== DEVICE: cuda ===
[DBG] model dtype: torch.float32
[DBG] first batch dtypes: torch.float32 torch.int64 | shape: torch.Size([256, 1, 3000])
[INFO] class weights (CE): [0.09759493 2.085447   0.39713308 1.4798007  0.94002426]
=== START TRAIN ===
[E01] batch 0000 | loss=1.6708 | acc=0.168
[E01] batch 0010 | loss=1.5149 | acc=0.277
[E01] batch 0020 | loss=1.4260 | acc=0.480
[E01] batch 0030 | loss=1.3430 | acc=0.527
[E01] batch 0040 | loss=1.2980 | acc=0.551
[E01] batch 0050 | loss=1.2969 | acc=0.512
[E01] batch 0060 | loss=1.2300 | acc=0.523
[E01] batch 0070 | loss=1.1256 | acc=0.625
[E01] batch 0080 | loss=1.1424 | acc=0.566
[E01] batch 0090 | loss=1.1172 | acc=0.582
[E01] batch 0100 | loss=1.0633 | acc=0.594
[E01] batch 0110 | loss=1.0173 | acc=0.660
[E01] batch 0120 | loss=0.9941 | acc=0.617
[E01] batch 0130 | loss=1.0261 | acc=0.594
[E01] batch 0140 | loss=1.0165 | acc=0.609
[E01] batch 0150 | loss=0.9354 | acc=0.668
[E01] batch 0160 | loss=0.8727 | acc=0.715
[E01] batch 0170 | loss=0.9435 | acc=0.656
[E01] batch 0180 | loss=0.8538 | acc=0.730
[E01] batch 0190 | loss=0.9333 | acc=0.672
[E01] batch 0200 | loss=0.9139 | acc=0.703
[E01] batch 0210 | loss=0.8778 | acc=0.699
[E01] batch 0220 | loss=0.8596 | acc=0.703
[E01] batch 0230 | loss=0.8524 | acc=0.691
[E01] batch 0240 | loss=0.8911 | acc=0.660
[E01] batch 0250 | loss=0.8984 | acc=0.688
[E01] batch 0260 | loss=0.8436 | acc=0.754
[E01] batch 0270 | loss=0.7913 | acc=0.785
[E01] batch 0280 | loss=0.8426 | acc=0.695
[E01] batch 0290 | loss=0.8688 | acc=0.711
[E01] batch 0300 | loss=0.7811 | acc=0.746
[E01] batch 0310 | loss=0.8436 | acc=0.727
[E01] batch 0320 | loss=0.8799 | acc=0.699
[E01] batch 0330 | loss=0.8386 | acc=0.699
[E01] batch 0340 | loss=0.8266 | acc=0.715
[E01] batch 0350 | loss=0.8001 | acc=0.762
[E01] batch 0360 | loss=0.7542 | acc=0.789
[E01] batch 0370 | loss=0.8314 | acc=0.730
[E01] batch 0380 | loss=0.7473 | acc=0.758
[E01] batch 0390 | loss=0.7847 | acc=0.758
[E01] batch 0400 | loss=0.8001 | acc=0.738
[E01] batch 0410 | loss=0.7866 | acc=0.723
[E01] batch 0420 | loss=0.7957 | acc=0.750
[E01] batch 0430 | loss=0.7791 | acc=0.746
