[CV] k=10 fold=2
[CV] TRAIN subjects (45): ['SC4002E0', 'SC4011E0', 'SC4012E0', 'SC4022E0', 'SC4032E0'] ...
[CV] VAL   subjects (1):   ['SC4001E0']
[CV] TEST  subjects (5):  ['SC4021E0', 'SC4031E0', 'SC4041E0', 'SC4241E0', 'SC4251E0'] ...
=== DEVICE: cuda ===
=== START TRAIN (CV fold) ===
[F2] [E01] batch 0000 | loss=1.6790 | acc=0.191
[F2] [E01] batch 0010 | loss=1.5189 | acc=0.285
[F2] [E01] batch 0020 | loss=1.4282 | acc=0.484
[F2] [E01] batch 0030 | loss=1.3655 | acc=0.484
[F2] [E01] batch 0040 | loss=1.3528 | acc=0.477
[F2] [E01] batch 0050 | loss=1.2043 | acc=0.590
[F2] [E01] batch 0060 | loss=1.2598 | acc=0.512
[F2] [E01] batch 0070 | loss=1.1665 | acc=0.559
[F2] [E01] batch 0080 | loss=1.0985 | acc=0.605
[F2] [E01] batch 0090 | loss=1.1352 | acc=0.562
[F2] [E01] batch 0100 | loss=1.0479 | acc=0.660
[F2] [E01] batch 0110 | loss=1.0618 | acc=0.598
[F2] [E01] batch 0120 | loss=1.0066 | acc=0.621
[F2] [E01] batch 0130 | loss=1.0051 | acc=0.629
[F2] [E01] batch 0140 | loss=1.0201 | acc=0.625
[F2] [E01] batch 0150 | loss=0.9824 | acc=0.664
[F2] [E01] batch 0160 | loss=0.9193 | acc=0.680
[F2] [E01] batch 0170 | loss=0.8779 | acc=0.730
[F2] [E01] batch 0180 | loss=0.9583 | acc=0.664
[F2] [E01] batch 0190 | loss=0.8320 | acc=0.715
[F2] [E01] batch 0200 | loss=0.9226 | acc=0.688
[F2] [E01] batch 0210 | loss=0.8935 | acc=0.707
[F2] [E01] batch 0220 | loss=0.8888 | acc=0.676
[F2] [E01] batch 0230 | loss=0.8790 | acc=0.703
[F2] [E01] batch 0240 | loss=0.8640 | acc=0.727
[F2] [E01] batch 0250 | loss=0.8876 | acc=0.719
[F2] [E01] batch 0260 | loss=0.8464 | acc=0.711
[F2] [E01] batch 0270 | loss=0.8863 | acc=0.707
[F2] [E01] batch 0280 | loss=0.9149 | acc=0.695
[F2] [E01] batch 0290 | loss=0.8492 | acc=0.715
[F2] [E01] batch 0300 | loss=0.7676 | acc=0.773
[F2] [E01] batch 0310 | loss=0.8010 | acc=0.773
[F2] [E01] batch 0320 | loss=0.7976 | acc=0.734
[F2] [E01] batch 0330 | loss=0.8795 | acc=0.641
