[CV] k=10 fold=1
[CV] TRAIN subjects (45): ['SC4002E0', 'SC4011E0', 'SC4021E0', 'SC4022E0', 'SC4031E0'] ...
[CV] VAL   subjects (1):   ['SC4001E0']
[CV] TEST  subjects (5):  ['SC4012E0', 'SC4062E0', 'SC4082E0', 'SC4152E0', 'SC4162E0'] ...
=== DEVICE: cuda ===
=== START TRAIN (CV fold) ===
[F1] [E01] batch 0000 | loss=1.6925 | acc=0.180
[F1] [E01] batch 0010 | loss=1.5266 | acc=0.238
[F1] [E01] batch 0020 | loss=1.4213 | acc=0.516
[F1] [E01] batch 0030 | loss=1.3635 | acc=0.477
[F1] [E01] batch 0040 | loss=1.3097 | acc=0.512
[F1] [E01] batch 0050 | loss=1.2115 | acc=0.617
[F1] [E01] batch 0060 | loss=1.2127 | acc=0.547
[F1] [E01] batch 0070 | loss=1.1724 | acc=0.582
[F1] [E01] batch 0080 | loss=1.1010 | acc=0.605
[F1] [E01] batch 0090 | loss=1.0576 | acc=0.645
[F1] [E01] batch 0100 | loss=0.9980 | acc=0.688
[F1] [E01] batch 0110 | loss=1.0386 | acc=0.648
[F1] [E01] batch 0120 | loss=0.9374 | acc=0.680
[F1] [E01] batch 0130 | loss=0.9923 | acc=0.656
[F1] [E01] batch 0140 | loss=0.9604 | acc=0.668
[F1] [E01] batch 0150 | loss=0.9473 | acc=0.672
[F1] [E01] batch 0160 | loss=0.9372 | acc=0.668
[F1] [E01] batch 0170 | loss=0.9591 | acc=0.633
[F1] [E01] batch 0180 | loss=0.9055 | acc=0.676
[F1] [E01] batch 0190 | loss=0.9023 | acc=0.680
[F1] [E01] batch 0200 | loss=0.8794 | acc=0.727
[F1] [E01] batch 0210 | loss=0.9016 | acc=0.703
[F1] [E01] batch 0220 | loss=0.8643 | acc=0.715
[F1] [E01] batch 0230 | loss=0.8674 | acc=0.711
[F1] [E01] batch 0240 | loss=0.8448 | acc=0.738
[F1] [E01] batch 0250 | loss=0.7780 | acc=0.750
[F1] [E01] batch 0260 | loss=0.8621 | acc=0.723
[F1] [E01] batch 0270 | loss=0.8413 | acc=0.703
[F1] [E01] batch 0280 | loss=0.8641 | acc=0.691
[F1] [E01] batch 0290 | loss=0.8911 | acc=0.695
[F1] [E01] batch 0300 | loss=0.9111 | acc=0.668
[F1] [E01] batch 0310 | loss=0.8152 | acc=0.773
[F1] [E01] batch 0320 | loss=0.8084 | acc=0.734
[F1] [E01] batch 0330 | loss=0.8100 | acc=0.727
[F1] [E01] batch 0340 | loss=0.8380 | acc=0.754
[F1] [E01] batch 0350 | loss=0.7638 | acc=0.781
[F1] [E01] batch 0360 | loss=0.7654 | acc=0.758
[F1] [E01] batch 0370 | loss=0.8751 | acc=0.727
[F1] [E01] batch 0380 | loss=0.8237 | acc=0.746
[F1] [E01] batch 0390 | loss=0.8038 | acc=0.746
[F1] [E01] batch 0400 | loss=0.8109 | acc=0.762
[F1] [E01] batch 0410 | loss=0.7710 | acc=0.766
[F1] [E01] batch 0420 | loss=0.7699 | acc=0.750
[F1] [E01] batch 0430 | loss=0.8208 | acc=0.703
[F1] [E01] batch 0440 | loss=0.8385 | acc=0.715
[F1] [E01] batch 0450 | loss=0.7825 | acc=0.750
[F1] [E01] batch 0460 | loss=0.8200 | acc=0.742
[F1] [E01] batch 0470 | loss=0.7616 | acc=0.770
[F1] [E01] total_loss=455.251 | VAL acc=0.937 | F1=0.782 | kappa=0.853
[SAVE] best fold=1 (by VAL F1)
[F1] [E02] batch 0000 | loss=0.8017 | acc=0.734
[F1] [E02] batch 0010 | loss=0.7982 | acc=0.738
[F1] [E02] batch 0020 | loss=0.7192 | acc=0.824
[F1] [E02] batch 0030 | loss=0.7819 | acc=0.742
[F1] [E02] batch 0040 | loss=0.7892 | acc=0.734
[F1] [E02] batch 0050 | loss=0.7571 | acc=0.766
[F1] [E02] batch 0060 | loss=0.7958 | acc=0.781
[F1] [E02] batch 0070 | loss=0.7149 | acc=0.766
[F1] [E02] batch 0080 | loss=0.7651 | acc=0.742
[F1] [E02] batch 0090 | loss=0.7567 | acc=0.758
[F1] [E02] batch 0100 | loss=0.8030 | acc=0.738
[F1] [E02] batch 0110 | loss=0.7545 | acc=0.789
[F1] [E02] batch 0120 | loss=0.8702 | acc=0.680
[F1] [E02] batch 0130 | loss=0.7234 | acc=0.793
[F1] [E02] batch 0140 | loss=0.7827 | acc=0.730
[F1] [E02] batch 0150 | loss=0.7835 | acc=0.754
[F1] [E02] batch 0160 | loss=0.7464 | acc=0.762
[F1] [E02] batch 0170 | loss=0.7477 | acc=0.785
[F1] [E02] batch 0180 | loss=0.7813 | acc=0.703
[F1] [E02] batch 0190 | loss=0.7762 | acc=0.746
[F1] [E02] batch 0200 | loss=0.7882 | acc=0.758
[F1] [E02] batch 0210 | loss=0.7121 | acc=0.809
[F1] [E02] batch 0220 | loss=0.8285 | acc=0.711
[F1] [E02] batch 0230 | loss=0.7907 | acc=0.750
[F1] [E02] batch 0240 | loss=0.7606 | acc=0.766
[F1] [E02] batch 0250 | loss=0.7615 | acc=0.770
[F1] [E02] batch 0260 | loss=0.7693 | acc=0.762
[F1] [E02] batch 0270 | loss=0.8054 | acc=0.723
[F1] [E02] batch 0280 | loss=0.7508 | acc=0.750
[F1] [E02] batch 0290 | loss=0.7586 | acc=0.762
[F1] [E02] batch 0300 | loss=0.7690 | acc=0.789
[F1] [E02] batch 0310 | loss=0.7573 | acc=0.754
[F1] [E02] batch 0320 | loss=0.7467 | acc=0.789
[F1] [E02] batch 0330 | loss=0.8045 | acc=0.742
[F1] [E02] batch 0340 | loss=0.7595 | acc=0.730
[F1] [E02] batch 0350 | loss=0.8252 | acc=0.738
[F1] [E02] batch 0360 | loss=0.7011 | acc=0.770
[F1] [E02] batch 0370 | loss=0.7273 | acc=0.785
[F1] [E02] batch 0380 | loss=0.7782 | acc=0.715
[F1] [E02] batch 0390 | loss=0.8429 | acc=0.719
[F1] [E02] batch 0400 | loss=0.6989 | acc=0.805
[F1] [E02] batch 0410 | loss=0.7633 | acc=0.766
[F1] [E02] batch 0420 | loss=0.7018 | acc=0.809
[F1] [E02] batch 0430 | loss=0.7289 | acc=0.773
[F1] [E02] batch 0440 | loss=0.6806 | acc=0.801
[F1] [E02] batch 0450 | loss=0.7145 | acc=0.785
[F1] [E02] batch 0460 | loss=0.6924 | acc=0.797
[F1] [E02] batch 0470 | loss=0.6858 | acc=0.824
[F1] [E02] total_loss=363.522 | VAL acc=0.931 | F1=0.771 | kappa=0.838
[F1] [E03] batch 0000 | loss=0.7062 | acc=0.770
[F1] [E03] batch 0010 | loss=0.7710 | acc=0.746
[F1] [E03] batch 0020 | loss=0.7602 | acc=0.738
[F1] [E03] batch 0030 | loss=0.7797 | acc=0.707
[F1] [E03] batch 0040 | loss=0.7109 | acc=0.758
[F1] [E03] batch 0050 | loss=0.7021 | acc=0.793
[F1] [E03] batch 0060 | loss=0.7708 | acc=0.738
[F1] [E03] batch 0070 | loss=0.8621 | acc=0.719
[F1] [E03] batch 0080 | loss=0.6980 | acc=0.785
[F1] [E03] batch 0090 | loss=0.7372 | acc=0.773
[F1] [E03] batch 0100 | loss=0.7122 | acc=0.754
[F1] [E03] batch 0110 | loss=0.7092 | acc=0.797
[F1] [E03] batch 0120 | loss=0.6956 | acc=0.809
[F1] [E03] batch 0130 | loss=0.7724 | acc=0.754
[F1] [E03] batch 0140 | loss=0.8247 | acc=0.719
[F1] [E03] batch 0150 | loss=0.7843 | acc=0.723
[F1] [E03] batch 0160 | loss=0.6406 | acc=0.812
[F1] [E03] batch 0170 | loss=0.6694 | acc=0.812
[F1] [E03] batch 0180 | loss=0.7179 | acc=0.750
[F1] [E03] batch 0190 | loss=0.7459 | acc=0.758
[F1] [E03] batch 0200 | loss=0.7072 | acc=0.793
[F1] [E03] batch 0210 | loss=0.6835 | acc=0.793
[F1] [E03] batch 0220 | loss=0.7113 | acc=0.770
[F1] [E03] batch 0230 | loss=0.6873 | acc=0.773
[F1] [E03] batch 0240 | loss=0.7548 | acc=0.723
[F1] [E03] batch 0250 | loss=0.7032 | acc=0.801
[F1] [E03] batch 0260 | loss=0.7494 | acc=0.777
[F1] [E03] batch 0270 | loss=0.6636 | acc=0.812
[F1] [E03] batch 0280 | loss=0.7543 | acc=0.734
[F1] [E03] batch 0290 | loss=0.7254 | acc=0.789
[F1] [E03] batch 0300 | loss=0.7586 | acc=0.762
[F1] [E03] batch 0310 | loss=0.7536 | acc=0.754
[F1] [E03] batch 0320 | loss=0.7659 | acc=0.750
[F1] [E03] batch 0330 | loss=0.6702 | acc=0.816
[F1] [E03] batch 0340 | loss=0.7581 | acc=0.766
[F1] [E03] batch 0350 | loss=0.7388 | acc=0.781
[F1] [E03] batch 0360 | loss=0.7051 | acc=0.785
[F1] [E03] batch 0370 | loss=0.6981 | acc=0.789
[F1] [E03] batch 0380 | loss=0.7261 | acc=0.797
[F1] [E03] batch 0390 | loss=0.7459 | acc=0.715
[F1] [E03] batch 0400 | loss=0.7207 | acc=0.777
[F1] [E03] batch 0410 | loss=0.7393 | acc=0.770
[F1] [E03] batch 0420 | loss=0.6555 | acc=0.809
[F1] [E03] batch 0430 | loss=0.7742 | acc=0.738
[F1] [E03] batch 0440 | loss=0.7620 | acc=0.750
[F1] [E03] batch 0450 | loss=0.7488 | acc=0.750
[F1] [E03] batch 0460 | loss=0.7448 | acc=0.773
[F1] [E03] batch 0470 | loss=0.7478 | acc=0.773
[F1] [E03] total_loss=351.049 | VAL acc=0.931 | F1=0.768 | kappa=0.842
[F1] [E04] batch 0000 | loss=0.6747 | acc=0.805
[F1] [E04] batch 0010 | loss=0.7395 | acc=0.785
[F1] [E04] batch 0020 | loss=0.8236 | acc=0.746
[F1] [E04] batch 0030 | loss=0.7483 | acc=0.766
[F1] [E04] batch 0040 | loss=0.7433 | acc=0.758
[F1] [E04] batch 0050 | loss=0.7630 | acc=0.738
[F1] [E04] batch 0060 | loss=0.7471 | acc=0.754
[F1] [E04] batch 0070 | loss=0.7343 | acc=0.734
[F1] [E04] batch 0080 | loss=0.6532 | acc=0.793
[F1] [E04] batch 0090 | loss=0.7295 | acc=0.766
[F1] [E04] batch 0100 | loss=0.7485 | acc=0.773
[F1] [E04] batch 0110 | loss=0.7146 | acc=0.785
[F1] [E04] batch 0120 | loss=0.7608 | acc=0.754
[F1] [E04] batch 0130 | loss=0.6414 | acc=0.816
[F1] [E04] batch 0140 | loss=0.7769 | acc=0.742
[F1] [E04] batch 0150 | loss=0.6710 | acc=0.828
[F1] [E04] batch 0160 | loss=0.7124 | acc=0.773
[F1] [E04] batch 0170 | loss=0.7021 | acc=0.797
[F1] [E04] batch 0180 | loss=0.7578 | acc=0.770
[F1] [E04] batch 0190 | loss=0.7333 | acc=0.770
[F1] [E04] batch 0200 | loss=0.6712 | acc=0.809
[F1] [E04] batch 0210 | loss=0.6930 | acc=0.770
[F1] [E04] batch 0220 | loss=0.7486 | acc=0.762
[F1] [E04] batch 0230 | loss=0.7011 | acc=0.773
[F1] [E04] batch 0240 | loss=0.7155 | acc=0.781
[F1] [E04] batch 0250 | loss=0.7127 | acc=0.797
[F1] [E04] batch 0260 | loss=0.7022 | acc=0.773
[F1] [E04] batch 0270 | loss=0.7512 | acc=0.723
[F1] [E04] batch 0280 | loss=0.7111 | acc=0.789
[F1] [E04] batch 0290 | loss=0.7849 | acc=0.730
[F1] [E04] batch 0300 | loss=0.7616 | acc=0.730
[F1] [E04] batch 0310 | loss=0.7362 | acc=0.773
[F1] [E04] batch 0320 | loss=0.7340 | acc=0.789
[F1] [E04] batch 0330 | loss=0.6897 | acc=0.773
[F1] [E04] batch 0340 | loss=0.7708 | acc=0.742
[F1] [E04] batch 0350 | loss=0.6739 | acc=0.812
[F1] [E04] batch 0360 | loss=0.7398 | acc=0.770
[F1] [E04] batch 0370 | loss=0.7192 | acc=0.789
[F1] [E04] batch 0380 | loss=0.7985 | acc=0.730
[F1] [E04] batch 0390 | loss=0.7123 | acc=0.797
[F1] [E04] batch 0400 | loss=0.6855 | acc=0.777
[F1] [E04] batch 0410 | loss=0.7421 | acc=0.750
[F1] [E04] batch 0420 | loss=0.7271 | acc=0.762
[F1] [E04] batch 0430 | loss=0.6948 | acc=0.793
[F1] [E04] batch 0440 | loss=0.7233 | acc=0.797
[F1] [E04] batch 0450 | loss=0.7405 | acc=0.773
[F1] [E04] batch 0460 | loss=0.7158 | acc=0.773
[F1] [E04] batch 0470 | loss=0.7163 | acc=0.777
[F1] [E04] total_loss=343.391 | VAL acc=0.942 | F1=0.792 | kappa=0.864
[SAVE] best fold=1 (by VAL F1)
[F1] [E05] batch 0000 | loss=0.6716 | acc=0.809
[F1] [E05] batch 0010 | loss=0.7396 | acc=0.750
[F1] [E05] batch 0020 | loss=0.6733 | acc=0.793
[F1] [E05] batch 0030 | loss=0.7583 | acc=0.730
[F1] [E05] batch 0040 | loss=0.7470 | acc=0.770
[F1] [E05] batch 0050 | loss=0.7430 | acc=0.754
[F1] [E05] batch 0060 | loss=0.7307 | acc=0.801
[F1] [E05] batch 0070 | loss=0.6631 | acc=0.840
[F1] [E05] batch 0080 | loss=0.7328 | acc=0.766
[F1] [E05] batch 0090 | loss=0.7071 | acc=0.812
[F1] [E05] batch 0100 | loss=0.7508 | acc=0.773
[F1] [E05] batch 0110 | loss=0.6324 | acc=0.859
[F1] [E05] batch 0120 | loss=0.7297 | acc=0.758
[F1] [E05] batch 0130 | loss=0.7521 | acc=0.758
[F1] [E05] batch 0140 | loss=0.7082 | acc=0.785
[F1] [E05] batch 0150 | loss=0.6806 | acc=0.812
[F1] [E05] batch 0160 | loss=0.6740 | acc=0.816
[F1] [E05] batch 0170 | loss=0.7027 | acc=0.812
[F1] [E05] batch 0180 | loss=0.7069 | acc=0.797
[F1] [E05] batch 0190 | loss=0.7211 | acc=0.762
[F1] [E05] batch 0200 | loss=0.6869 | acc=0.801
[F1] [E05] batch 0210 | loss=0.7434 | acc=0.754
[F1] [E05] batch 0220 | loss=0.7305 | acc=0.766
[F1] [E05] batch 0230 | loss=0.7283 | acc=0.762
[F1] [E05] batch 0240 | loss=0.6716 | acc=0.789
[F1] [E05] batch 0250 | loss=0.6621 | acc=0.816
