JOB ID: 196325
FOLD: 3
HOST: node-38
START: Wed Dec 24 23:46:56 EET 2025
Wed Dec 24 23:46:56 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 550.144.03             Driver Version: 550.144.03     CUDA Version: 12.4     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-SXM2-32GB           On  |   00000000:0B:00.0 Off |                    0 |
| N/A   41C    P0             59W /  300W |       1MiB /  32768MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[CV] k=10 fold=3
[CV] TRAIN subjects (45): ['SC4002E0', 'SC4011E0', 'SC4012E0', 'SC4021E0', 'SC4022E0'] ...
[CV] VAL   subjects (1):   ['SC4001E0']
[CV] TEST  subjects (5):  ['SC4072E0', 'SC4092E0', 'SC4171E0', 'SC4182E0', 'SC4242E0'] ...
=== DEVICE: cuda ===
=== seq_len=21 stride=1 batch_size=64 ===
=== Transformer: d_model=128 heads=4 layers=2 ff=256 dropout=0.1 ===
=== START TRAIN (SeqTransformer CV fold) ===
[F3] [E01] batch 0000 | loss=1.8500 | acc=0.141
[F3] [E01] batch 0020 | loss=0.4634 | acc=0.906
[F3] [E01] batch 0040 | loss=0.4431 | acc=0.906
[F3] [E01] batch 0060 | loss=0.5333 | acc=0.859
[F3] [E01] batch 0080 | loss=0.4600 | acc=0.891
[F3] [E01] batch 0100 | loss=0.4161 | acc=0.922
[F3] [E01] batch 0120 | loss=0.4167 | acc=0.922
[F3] [E01] batch 0140 | loss=0.3747 | acc=0.938
[F3] [E01] batch 0160 | loss=0.4834 | acc=0.875
[F3] [E01] batch 0180 | loss=0.5131 | acc=0.906
[F3] [E01] batch 0200 | loss=0.3714 | acc=0.938
[F3] [E01] batch 0220 | loss=0.4567 | acc=0.906
[F3] [E01] batch 0240 | loss=0.4424 | acc=0.906
[F3] [E01] batch 0260 | loss=0.4155 | acc=0.922
[F3] [E01] batch 0280 | loss=0.4518 | acc=0.891
[F3] [E01] batch 0300 | loss=0.3585 | acc=0.953
[F3] [E01] batch 0320 | loss=0.4030 | acc=0.906
[F3] [E01] batch 0340 | loss=0.5099 | acc=0.828
[F3] [E01] batch 0360 | loss=0.4352 | acc=0.938
[F3] [E01] batch 0380 | loss=0.3807 | acc=0.938
[F3] [E01] batch 0400 | loss=0.3503 | acc=0.938
[F3] [E01] batch 0420 | loss=0.4151 | acc=0.891
[F3] [E01] batch 0440 | loss=0.4256 | acc=0.922
