JOB ID: 196320
FOLD: 4
HOST: node-38
START: Wed Dec 24 23:55:31 EET 2025
Wed Dec 24 23:55:31 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 550.144.03             Driver Version: 550.144.03     CUDA Version: 12.4     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-SXM2-32GB           On  |   00000000:0A:00.0 Off |                    0 |
| N/A   48C    P0             62W /  300W |       1MiB /  32768MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[CV] k=10 fold=4
[CV] TRAIN subjects (45): ['SC4002E0', 'SC4011E0', 'SC4012E0', 'SC4021E0', 'SC4022E0'] ...
[CV] VAL   subjects (1):   ['SC4001E0']
[CV] TEST  subjects (5):  ['SC4042E0', 'SC4081E0', 'SC4122E0', 'SC4131E0', 'SC4222E0'] ...
=== DEVICE: cuda ===
=== seq_len=21 stride=1 batch_size=64 ===
=== Transformer: d_model=128 heads=4 layers=2 ff=256 dropout=0.1 ===
=== START TRAIN (SeqTransformer CV fold) ===
[F4] [E01] batch 0000 | loss=1.9856 | acc=0.141
[F4] [E01] batch 0020 | loss=0.6516 | acc=0.812
[F4] [E01] batch 0040 | loss=0.4538 | acc=0.906
[F4] [E01] batch 0060 | loss=0.5655 | acc=0.875
[F4] [E01] batch 0080 | loss=0.4393 | acc=0.906
[F4] [E01] batch 0100 | loss=0.3699 | acc=0.953
[F4] [E01] batch 0120 | loss=0.5475 | acc=0.859
[F4] [E01] batch 0140 | loss=0.4335 | acc=0.906
[F4] [E01] batch 0160 | loss=0.4623 | acc=0.891
[F4] [E01] batch 0180 | loss=0.5025 | acc=0.875
[F4] [E01] batch 0200 | loss=0.5065 | acc=0.875
[F4] [E01] batch 0220 | loss=0.4538 | acc=0.906
[F4] [E01] batch 0240 | loss=0.4794 | acc=0.875
[F4] [E01] batch 0260 | loss=0.3513 | acc=0.953
[F4] [E01] batch 0280 | loss=0.4377 | acc=0.891
[F4] [E01] batch 0300 | loss=0.4485 | acc=0.891
[F4] [E01] batch 0320 | loss=0.3322 | acc=0.953
[F4] [E01] batch 0340 | loss=0.3542 | acc=0.938
[F4] [E01] batch 0360 | loss=0.5426 | acc=0.891
[F4] [E01] batch 0380 | loss=0.3600 | acc=0.969
[F4] [E01] batch 0400 | loss=0.3442 | acc=0.953
[F4] [E01] batch 0420 | loss=0.4105 | acc=0.938
[F4] [E01] batch 0440 | loss=0.4088 | acc=0.922
[F4] [E01] batch 0460 | loss=0.2841 | acc=0.984
[F4] [E01] batch 0480 | loss=0.3627 | acc=0.922
[F4] [E01] batch 0500 | loss=0.4463 | acc=0.906
