START: Sat Dec 27 01:54:02 EET 2025
JOB: 196372 TASK: 0
Sat Dec 27 01:54:02 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 550.144.03             Driver Version: 550.144.03     CUDA Version: 12.4     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-SXM2-32GB           On  |   00000000:85:00.0 Off |                    0 |
| N/A   30C    P0             43W /  300W |       1MiB /  32768MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[CV] k=10 fold=0
[CV] TRAIN subjects (44): ['SC4002E0', 'SC4011E0', 'SC4012E0', 'SC4021E0', 'SC4022E0'] ...
[CV] VAL   subjects (1):   ['SC4001E0']
[CV] TEST  subjects (6):  ['SC4061E0', 'SC4121E0', 'SC4161E0', 'SC4202E0', 'SC4221E0'] ...
=== DEVICE: cuda ===
=== seq_len=21 stride=1 batch_size=16 ===
=== Transformer: d_model=128 heads=4 layers=2 ff=256 dropout=0.1 ===
=== START TRAIN (SeqTransformer CV fold) ===
[F0] [E01] batch 0000 | loss=1.9284 | acc=0.125
[F0] [E01] batch 0020 | loss=0.4448 | acc=0.938
[F0] [E01] batch 0040 | loss=0.5684 | acc=0.812
[F0] [E01] batch 0060 | loss=0.4731 | acc=0.938
[F0] [E01] batch 0080 | loss=0.3900 | acc=0.938
[F0] [E01] batch 0100 | loss=0.4620 | acc=0.938
[F0] [E01] batch 0120 | loss=0.4514 | acc=0.812
[F0] [E01] batch 0140 | loss=0.3348 | acc=1.000
[F0] [E01] batch 0160 | loss=0.4410 | acc=0.938
[F0] [E01] batch 0180 | loss=0.6923 | acc=0.750
[F0] [E01] batch 0200 | loss=0.4545 | acc=0.938
[F0] [E01] batch 0220 | loss=0.3633 | acc=0.938
[F0] [E01] batch 0240 | loss=0.2718 | acc=1.000
[F0] [E01] batch 0260 | loss=0.9124 | acc=0.688
[F0] [E01] batch 0280 | loss=0.4116 | acc=0.812
[F0] [E01] batch 0300 | loss=0.3534 | acc=0.938
[F0] [E01] batch 0320 | loss=0.3433 | acc=0.938
[F0] [E01] batch 0340 | loss=0.4546 | acc=0.938
[F0] [E01] batch 0360 | loss=0.3489 | acc=1.000
[F0] [E01] batch 0380 | loss=0.3425 | acc=0.938
[F0] [E01] batch 0400 | loss=0.4288 | acc=0.875
[F0] [E01] batch 0420 | loss=0.3952 | acc=0.938
[F0] [E01] batch 0440 | loss=0.2434 | acc=1.000
[F0] [E01] batch 0460 | loss=0.8728 | acc=0.750
[F0] [E01] batch 0480 | loss=0.2465 | acc=1.000
[F0] [E01] batch 0500 | loss=0.6883 | acc=0.750
[F0] [E01] batch 0520 | loss=0.5893 | acc=0.812
[F0] [E01] batch 0540 | loss=0.4746 | acc=0.938
[F0] [E01] batch 0560 | loss=0.4668 | acc=0.938
[F0] [E01] batch 0580 | loss=0.4595 | acc=0.938
[F0] [E01] batch 0600 | loss=0.5288 | acc=0.875
[F0] [E01] batch 0620 | loss=0.5621 | acc=0.875
[F0] [E01] batch 0640 | loss=0.5149 | acc=0.875
[F0] [E01] batch 0660 | loss=0.4335 | acc=0.875
[F0] [E01] batch 0680 | loss=0.3278 | acc=0.938
[F0] [E01] batch 0700 | loss=0.5517 | acc=0.875
[F0] [E01] batch 0720 | loss=0.2444 | acc=1.000
[F0] [E01] batch 0740 | loss=0.2351 | acc=1.000
[F0] [E01] batch 0760 | loss=0.2813 | acc=1.000
[F0] [E01] batch 0780 | loss=0.2519 | acc=1.000
[F0] [E01] batch 0800 | loss=0.2496 | acc=1.000
[F0] [E01] batch 0820 | loss=0.4008 | acc=0.938
[F0] [E01] batch 0840 | loss=0.3621 | acc=0.938
[F0] [E01] batch 0860 | loss=0.2531 | acc=1.000
[F0] [E01] batch 0880 | loss=0.6725 | acc=0.812
[F0] [E01] batch 0900 | loss=0.4820 | acc=0.812
[F0] [E01] batch 0920 | loss=0.6602 | acc=0.750
[F0] [E01] batch 0940 | loss=0.7640 | acc=0.750
[F0] [E01] batch 0960 | loss=0.6521 | acc=0.812
[F0] [E01] batch 0980 | loss=0.3879 | acc=0.938
[F0] [E01] batch 1000 | loss=0.5776 | acc=0.812
[F0] [E01] batch 1020 | loss=0.2905 | acc=0.938
[F0] [E01] batch 1040 | loss=0.3743 | acc=0.875
[F0] [E01] batch 1060 | loss=0.4564 | acc=0.875
[F0] [E01] batch 1080 | loss=0.2506 | acc=1.000
[F0] [E01] batch 1100 | loss=0.4700 | acc=0.875
[F0] [E01] batch 1120 | loss=0.5290 | acc=0.875
[F0] [E01] batch 1140 | loss=0.7752 | acc=0.812
[F0] [E01] batch 1160 | loss=0.2692 | acc=1.000
[F0] [E01] batch 1180 | loss=0.5341 | acc=0.812
[F0] [E01] batch 1200 | loss=0.7264 | acc=0.812
[F0] [E01] batch 1220 | loss=0.4271 | acc=0.938
[F0] [E01] batch 1240 | loss=0.3710 | acc=0.938
[F0] [E01] batch 1260 | loss=0.4464 | acc=0.938
[F0] [E01] batch 1280 | loss=0.3793 | acc=0.875
[F0] [E01] batch 1300 | loss=0.3344 | acc=0.938
[F0] [E01] batch 1320 | loss=0.4005 | acc=0.938
[F0] [E01] batch 1340 | loss=0.4077 | acc=0.938
[F0] [E01] batch 1360 | loss=0.2559 | acc=1.000
[F0] [E01] batch 1380 | loss=0.4824 | acc=0.875
[F0] [E01] batch 1400 | loss=0.4146 | acc=0.938
[F0] [E01] batch 1420 | loss=0.4123 | acc=0.875
[F0] [E01] batch 1440 | loss=0.5564 | acc=0.875
[F0] [E01] batch 1460 | loss=0.4860 | acc=0.812
[F0] [E01] batch 1480 | loss=0.4348 | acc=0.875
[F0] [E01] batch 1500 | loss=0.4452 | acc=0.938
[F0] [E01] batch 1520 | loss=0.3162 | acc=1.000
[F0] [E01] batch 1540 | loss=0.3604 | acc=0.938
[F0] [E01] batch 1560 | loss=0.5065 | acc=0.875
[F0] [E01] batch 1580 | loss=0.2347 | acc=1.000
[F0] [E01] batch 1600 | loss=0.3590 | acc=0.938
[F0] [E01] batch 1620 | loss=0.4929 | acc=0.875
[F0] [E01] batch 1640 | loss=0.4269 | acc=0.875
[F0] [E01] batch 1660 | loss=0.5075 | acc=0.938
[F0] [E01] batch 1680 | loss=0.5287 | acc=0.750
[F0] [E01] batch 1700 | loss=0.2652 | acc=1.000
[F0] [E01] batch 1720 | loss=0.4307 | acc=0.938
[F0] [E01] batch 1740 | loss=0.6341 | acc=0.812
[F0] [E01] batch 1760 | loss=0.2804 | acc=1.000
[F0] [E01] batch 1780 | loss=0.4532 | acc=0.938
[F0] [E01] batch 1800 | loss=0.3201 | acc=0.938
[F0] [E01] batch 1820 | loss=0.4104 | acc=0.938
[F0] [E01] batch 1840 | loss=0.6592 | acc=0.875
[F0] [E01] batch 1860 | loss=0.2592 | acc=1.000
[F0] [E01] batch 1880 | loss=0.3729 | acc=0.938
[F0] [E01] batch 1900 | loss=0.4223 | acc=0.812
[F0] [E01] batch 1920 | loss=0.2777 | acc=1.000
[F0] [E01] batch 1940 | loss=0.3575 | acc=0.938
[F0] [E01] batch 1960 | loss=0.2603 | acc=1.000
[F0] [E01] batch 1980 | loss=0.3647 | acc=0.938
[F0] [E01] batch 2000 | loss=0.4565 | acc=0.938
[F0] [E01] batch 2020 | loss=0.2383 | acc=1.000
[F0] [E01] batch 2040 | loss=0.5381 | acc=0.875
[F0] [E01] batch 2060 | loss=0.2473 | acc=1.000
[F0] [E01] batch 2080 | loss=0.4811 | acc=0.875
[F0] [E01] batch 2100 | loss=0.5338 | acc=0.938
[F0] [E01] batch 2120 | loss=0.3183 | acc=0.938
[F0] [E01] batch 2140 | loss=0.2647 | acc=1.000
[F0] [E01] batch 2160 | loss=0.5360 | acc=0.875
[F0] [E01] batch 2180 | loss=0.3687 | acc=0.875
[F0] [E01] batch 2200 | loss=0.4447 | acc=0.875
[F0] [E01] batch 2220 | loss=0.6745 | acc=0.812
[F0] [E01] batch 2240 | loss=0.3151 | acc=0.938
[F0] [E01] batch 2260 | loss=0.5350 | acc=0.875
[F0] [E01] batch 2280 | loss=0.3066 | acc=1.000
[F0] [E01] batch 2300 | loss=0.3340 | acc=0.938
[F0] [E01] batch 2320 | loss=0.5483 | acc=0.812
[F0] [E01] batch 2340 | loss=0.4144 | acc=0.938
[F0] [E01] batch 2360 | loss=0.3594 | acc=0.938
[F0] [E01] batch 2380 | loss=0.5311 | acc=0.750
[F0] [E01] batch 2400 | loss=0.3577 | acc=0.875
[F0] [E01] batch 2420 | loss=0.6147 | acc=0.875
[F0] [E01] batch 2440 | loss=0.4427 | acc=0.938
[F0] [E01] batch 2460 | loss=0.2554 | acc=1.000
[F0] [E01] batch 2480 | loss=0.4182 | acc=0.875
[F0] [E01] batch 2500 | loss=0.9061 | acc=0.750
[F0] [E01] batch 2520 | loss=0.6213 | acc=0.875
[F0] [E01] batch 2540 | loss=0.3595 | acc=0.938
[F0] [E01] batch 2560 | loss=0.2355 | acc=1.000
[F0] [E01] batch 2580 | loss=0.4370 | acc=0.875
[F0] [E01] batch 2600 | loss=0.5510 | acc=0.875
[F0] [E01] batch 2620 | loss=0.3175 | acc=0.938
[F0] [E01] batch 2640 | loss=0.5023 | acc=0.875
[F0] [E01] batch 2660 | loss=0.2572 | acc=1.000
[F0] [E01] batch 2680 | loss=0.3917 | acc=0.938
[F0] [E01] batch 2700 | loss=0.3765 | acc=0.938
[F0] [E01] batch 2720 | loss=0.5145 | acc=0.938
[F0] [E01] batch 2740 | loss=0.2445 | acc=1.000
[F0] [E01] batch 2760 | loss=0.6556 | acc=0.750
[F0] [E01] batch 2780 | loss=0.2806 | acc=1.000
[F0] [E01] batch 2800 | loss=0.2651 | acc=1.000
[F0] [E01] batch 2820 | loss=0.3525 | acc=0.938
[F0] [E01] batch 2840 | loss=0.2879 | acc=0.938
[F0] [E01] batch 2860 | loss=0.3309 | acc=0.938
[F0] [E01] batch 2880 | loss=0.2918 | acc=0.938
[F0] [E01] batch 2900 | loss=0.2271 | acc=1.000
[F0] [E01] batch 2920 | loss=0.2818 | acc=1.000
[F0] [E01] batch 2940 | loss=0.2607 | acc=1.000
[F0] [E01] batch 2960 | loss=0.4555 | acc=0.875
[F0] [E01] batch 2980 | loss=0.3303 | acc=0.938
[F0] [E01] batch 3000 | loss=0.3292 | acc=0.938
[F0] [E01] batch 3020 | loss=0.4290 | acc=0.938
[F0] [E01] batch 3040 | loss=0.3472 | acc=0.938
[F0] [E01] batch 3060 | loss=0.2608 | acc=1.000
[F0] [E01] batch 3080 | loss=0.2491 | acc=1.000
[F0] [E01] batch 3100 | loss=0.2322 | acc=1.000
[F0] [E01] batch 3120 | loss=0.5317 | acc=0.875
[F0] [E01] batch 3140 | loss=0.3681 | acc=0.938
[F0] [E01] batch 3160 | loss=0.4575 | acc=0.812
[F0] [E01] batch 3180 | loss=0.4993 | acc=0.812
[F0] [E01] batch 3200 | loss=0.5567 | acc=0.875
[F0] [E01] batch 3220 | loss=0.2970 | acc=1.000
[F0] [E01] batch 3240 | loss=0.4448 | acc=0.875
[F0] [E01] batch 3260 | loss=0.4065 | acc=0.938
[F0] [E01] batch 3280 | loss=0.5110 | acc=0.812
[F0] [E01] batch 3300 | loss=0.3210 | acc=0.938
[F0] [E01] batch 3320 | loss=0.4042 | acc=0.938
[F0] [E01] batch 3340 | loss=0.6977 | acc=0.812
[F0] [E01] batch 3360 | loss=0.3114 | acc=1.000
[F0] [E01] batch 3380 | loss=0.2939 | acc=0.938
[F0] [E01] batch 3400 | loss=0.3520 | acc=0.938
[F0] [E01] batch 3420 | loss=0.5990 | acc=0.812
[F0] [E01] batch 3440 | loss=0.2928 | acc=1.000
[F0] [E01] batch 3460 | loss=0.4511 | acc=0.875
