START: Sat Dec 27 06:40:48 EET 2025
JOB: 196371 TASK: 9
Sat Dec 27 06:40:48 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 550.144.03             Driver Version: 550.144.03     CUDA Version: 12.4     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-SXM2-32GB           On  |   00000000:0B:00.0 Off |                    0 |
| N/A   40C    P0             58W /  300W |       1MiB /  32768MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[CV] k=10 fold=9
[CV] TRAIN subjects (45): ['SC4002E0', 'SC4011E0', 'SC4012E0', 'SC4021E0', 'SC4022E0'] ...
[CV] VAL   subjects (1):   ['SC4001E0']
[CV] TEST  subjects (5):  ['SC4032E0', 'SC4071E0', 'SC4142E0', 'SC4192E0', 'SC4212E0'] ...
=== DEVICE: cuda ===
=== seq_len=21 stride=1 batch_size=16 ===
=== Transformer: d_model=128 heads=4 layers=2 ff=256 dropout=0.1 ===
=== START TRAIN (SeqTransformer CV fold) ===
[F9] [E01] batch 0000 | loss=2.1026 | acc=0.125
[F9] [E01] batch 0020 | loss=0.7098 | acc=0.812
[F9] [E01] batch 0040 | loss=0.5611 | acc=0.812
[F9] [E01] batch 0060 | loss=0.4912 | acc=0.875
[F9] [E01] batch 0080 | loss=1.1455 | acc=0.562
[F9] [E01] batch 0100 | loss=0.5228 | acc=0.875
[F9] [E01] batch 0120 | loss=0.5078 | acc=0.875
[F9] [E01] batch 0140 | loss=0.2411 | acc=1.000
[F9] [E01] batch 0160 | loss=0.4061 | acc=0.938
[F9] [E01] batch 0180 | loss=0.6614 | acc=0.875
[F9] [E01] batch 0200 | loss=0.5324 | acc=0.875
[F9] [E01] batch 0220 | loss=0.6723 | acc=0.812
[F9] [E01] batch 0240 | loss=0.5521 | acc=0.812
[F9] [E01] batch 0260 | loss=0.3877 | acc=0.938
[F9] [E01] batch 0280 | loss=0.5080 | acc=0.812
[F9] [E01] batch 0300 | loss=0.6432 | acc=0.750
[F9] [E01] batch 0320 | loss=0.8838 | acc=0.625
[F9] [E01] batch 0340 | loss=0.4259 | acc=0.938
[F9] [E01] batch 0360 | loss=0.3698 | acc=0.938
[F9] [E01] batch 0380 | loss=0.9838 | acc=0.688
[F9] [E01] batch 0400 | loss=0.4268 | acc=0.938
[F9] [E01] batch 0420 | loss=0.5637 | acc=0.875
[F9] [E01] batch 0440 | loss=0.4439 | acc=0.875
[F9] [E01] batch 0460 | loss=0.5784 | acc=0.875
[F9] [E01] batch 0480 | loss=0.6332 | acc=0.750
[F9] [E01] batch 0500 | loss=0.5085 | acc=0.875
[F9] [E01] batch 0520 | loss=0.3572 | acc=0.938
[F9] [E01] batch 0540 | loss=0.5634 | acc=0.938
[F9] [E01] batch 0560 | loss=0.4572 | acc=0.938
[F9] [E01] batch 0580 | loss=0.3565 | acc=0.938
[F9] [E01] batch 0600 | loss=0.5984 | acc=0.875
[F9] [E01] batch 0620 | loss=0.4344 | acc=0.938
[F9] [E01] batch 0640 | loss=0.4501 | acc=0.875
[F9] [E01] batch 0660 | loss=0.5794 | acc=0.812
[F9] [E01] batch 0680 | loss=0.3691 | acc=0.938
[F9] [E01] batch 0700 | loss=0.2319 | acc=1.000
[F9] [E01] batch 0720 | loss=0.2673 | acc=1.000
[F9] [E01] batch 0740 | loss=0.5961 | acc=0.812
[F9] [E01] batch 0760 | loss=0.3110 | acc=1.000
[F9] [E01] batch 0780 | loss=0.2747 | acc=1.000
[F9] [E01] batch 0800 | loss=0.2459 | acc=1.000
[F9] [E01] batch 0820 | loss=0.2619 | acc=1.000
[F9] [E01] batch 0840 | loss=0.3374 | acc=1.000
[F9] [E01] batch 0860 | loss=0.3563 | acc=0.875
[F9] [E01] batch 0880 | loss=0.3156 | acc=0.938
[F9] [E01] batch 0900 | loss=0.6402 | acc=0.750
[F9] [E01] batch 0920 | loss=0.2396 | acc=1.000
[F9] [E01] batch 0940 | loss=0.2383 | acc=1.000
[F9] [E01] batch 0960 | loss=0.2743 | acc=1.000
[F9] [E01] batch 0980 | loss=0.2790 | acc=0.938
[F9] [E01] batch 1000 | loss=0.4132 | acc=0.938
[F9] [E01] batch 1020 | loss=0.4129 | acc=0.938
[F9] [E01] batch 1040 | loss=0.4070 | acc=0.875
[F9] [E01] batch 1060 | loss=0.4165 | acc=0.875
[F9] [E01] batch 1080 | loss=0.4929 | acc=0.875
[F9] [E01] batch 1100 | loss=0.4446 | acc=0.938
[F9] [E01] batch 1120 | loss=0.6763 | acc=0.812
[F9] [E01] batch 1140 | loss=0.4593 | acc=0.875
[F9] [E01] batch 1160 | loss=0.4083 | acc=0.875
[F9] [E01] batch 1180 | loss=0.3350 | acc=0.875
[F9] [E01] batch 1200 | loss=0.3358 | acc=1.000
[F9] [E01] batch 1220 | loss=0.3988 | acc=0.938
[F9] [E01] batch 1240 | loss=0.3306 | acc=0.938
[F9] [E01] batch 1260 | loss=0.2561 | acc=1.000
[F9] [E01] batch 1280 | loss=0.7559 | acc=0.750
[F9] [E01] batch 1300 | loss=0.5869 | acc=0.875
[F9] [E01] batch 1320 | loss=0.6510 | acc=0.875
[F9] [E01] batch 1340 | loss=0.2378 | acc=1.000
[F9] [E01] batch 1360 | loss=0.5309 | acc=0.875
[F9] [E01] batch 1380 | loss=0.3045 | acc=1.000
[F9] [E01] batch 1400 | loss=0.3101 | acc=0.938
[F9] [E01] batch 1420 | loss=0.7037 | acc=0.812
[F9] [E01] batch 1440 | loss=0.4880 | acc=0.875
[F9] [E01] batch 1460 | loss=0.3461 | acc=0.938
[F9] [E01] batch 1480 | loss=0.3251 | acc=0.938
[F9] [E01] batch 1500 | loss=0.3492 | acc=0.938
[F9] [E01] batch 1520 | loss=0.5191 | acc=0.812
[F9] [E01] batch 1540 | loss=0.3403 | acc=0.938
[F9] [E01] batch 1560 | loss=0.3309 | acc=0.938
[F9] [E01] batch 1580 | loss=0.4152 | acc=0.875
[F9] [E01] batch 1600 | loss=0.6419 | acc=0.812
[F9] [E01] batch 1620 | loss=0.2854 | acc=0.938
[F9] [E01] batch 1640 | loss=0.2431 | acc=1.000
[F9] [E01] batch 1660 | loss=0.4023 | acc=0.938
[F9] [E01] batch 1680 | loss=0.3523 | acc=0.938
[F9] [E01] batch 1700 | loss=0.3734 | acc=0.938
[F9] [E01] batch 1720 | loss=0.3518 | acc=0.938
[F9] [E01] batch 1740 | loss=0.4000 | acc=0.938
[F9] [E01] batch 1760 | loss=0.3098 | acc=1.000
[F9] [E01] batch 1780 | loss=0.3034 | acc=1.000
[F9] [E01] batch 1800 | loss=0.3434 | acc=0.938
[F9] [E01] batch 1820 | loss=0.2974 | acc=0.938
[F9] [E01] batch 1840 | loss=0.2839 | acc=0.938
[F9] [E01] batch 1860 | loss=0.4507 | acc=0.938
[F9] [E01] batch 1880 | loss=0.3108 | acc=1.000
[F9] [E01] batch 1900 | loss=0.9342 | acc=0.750
[F9] [E01] batch 1920 | loss=0.2422 | acc=1.000
[F9] [E01] batch 1940 | loss=0.5364 | acc=0.812
[F9] [E01] batch 1960 | loss=0.2872 | acc=0.938
[F9] [E01] batch 1980 | loss=0.3617 | acc=0.938
[F9] [E01] batch 2000 | loss=0.2840 | acc=1.000
[F9] [E01] batch 2020 | loss=0.3904 | acc=0.875
[F9] [E01] batch 2040 | loss=0.3969 | acc=0.938
[F9] [E01] batch 2060 | loss=0.2756 | acc=1.000
[F9] [E01] batch 2080 | loss=0.5131 | acc=0.812
[F9] [E01] batch 2100 | loss=0.2814 | acc=1.000
[F9] [E01] batch 2120 | loss=0.3773 | acc=0.938
[F9] [E01] batch 2140 | loss=0.3345 | acc=0.938
[F9] [E01] batch 2160 | loss=0.8942 | acc=0.750
[F9] [E01] batch 2180 | loss=0.2913 | acc=1.000
[F9] [E01] batch 2200 | loss=0.4606 | acc=0.875
[F9] [E01] batch 2220 | loss=0.3711 | acc=0.938
[F9] [E01] batch 2240 | loss=0.2811 | acc=1.000
[F9] [E01] batch 2260 | loss=0.4873 | acc=0.938
[F9] [E01] batch 2280 | loss=0.5230 | acc=0.812
[F9] [E01] batch 2300 | loss=0.5252 | acc=0.938
[F9] [E01] batch 2320 | loss=0.5638 | acc=0.812
[F9] [E01] batch 2340 | loss=0.4780 | acc=0.875
[F9] [E01] batch 2360 | loss=0.2454 | acc=1.000
[F9] [E01] batch 2380 | loss=0.6887 | acc=0.750
[F9] [E01] batch 2400 | loss=0.2506 | acc=1.000
[F9] [E01] batch 2420 | loss=0.6925 | acc=0.750
[F9] [E01] batch 2440 | loss=0.3035 | acc=0.938
[F9] [E01] batch 2460 | loss=0.3607 | acc=0.938
[F9] [E01] batch 2480 | loss=0.5364 | acc=0.812
[F9] [E01] batch 2500 | loss=0.5754 | acc=0.812
[F9] [E01] batch 2520 | loss=0.5122 | acc=0.875
[F9] [E01] batch 2540 | loss=0.6689 | acc=0.812
[F9] [E01] batch 2560 | loss=0.2570 | acc=1.000
[F9] [E01] batch 2580 | loss=0.3467 | acc=0.938
[F9] [E01] batch 2600 | loss=0.2653 | acc=1.000
[F9] [E01] batch 2620 | loss=0.3897 | acc=0.938
[F9] [E01] batch 2640 | loss=0.4365 | acc=0.938
[F9] [E01] batch 2660 | loss=0.2957 | acc=1.000
[F9] [E01] batch 2680 | loss=0.4191 | acc=0.938
[F9] [E01] batch 2700 | loss=0.5993 | acc=0.875
[F9] [E01] batch 2720 | loss=0.4351 | acc=0.875
[F9] [E01] batch 2740 | loss=0.6379 | acc=0.750
[F9] [E01] batch 2760 | loss=0.7056 | acc=0.812
[F9] [E01] batch 2780 | loss=0.2556 | acc=1.000
[F9] [E01] batch 2800 | loss=0.3525 | acc=0.938
[F9] [E01] batch 2820 | loss=0.6244 | acc=0.812
[F9] [E01] batch 2840 | loss=0.2390 | acc=1.000
[F9] [E01] batch 2860 | loss=0.5796 | acc=0.812
[F9] [E01] batch 2880 | loss=0.8513 | acc=0.750
[F9] [E01] batch 2900 | loss=0.6520 | acc=0.812
[F9] [E01] batch 2920 | loss=0.3708 | acc=0.938
[F9] [E01] batch 2940 | loss=0.2612 | acc=1.000
[F9] [E01] batch 2960 | loss=0.2497 | acc=1.000
[F9] [E01] batch 2980 | loss=0.2548 | acc=1.000
[F9] [E01] batch 3000 | loss=0.3523 | acc=0.938
[F9] [E01] batch 3020 | loss=0.2570 | acc=1.000
[F9] [E01] batch 3040 | loss=0.2541 | acc=1.000
[F9] [E01] batch 3060 | loss=0.4323 | acc=0.875
[F9] [E01] batch 3080 | loss=0.3821 | acc=0.938
[F9] [E01] batch 3100 | loss=0.6039 | acc=0.875
[F9] [E01] batch 3120 | loss=0.5959 | acc=0.875
[F9] [E01] batch 3140 | loss=0.4390 | acc=0.875
[F9] [E01] batch 3160 | loss=0.4624 | acc=0.812
[F9] [E01] batch 3180 | loss=0.5171 | acc=0.812
[F9] [E01] batch 3200 | loss=0.4054 | acc=0.938
[F9] [E01] batch 3220 | loss=0.6574 | acc=0.812
[F9] [E01] batch 3240 | loss=0.6841 | acc=0.812
[F9] [E01] batch 3260 | loss=0.3021 | acc=0.938
