[INFO] Transformer | TRAIN=130703 | VAL=2804
=== DEVICE: cuda ===
[DBG] model dtype: torch.float32
=== START TRAIN (Transformer) ===
[E01] b0000 | loss=1.7811 | acc=0.135
[E01] b0010 | loss=1.6244 | acc=0.271
[E01] b0020 | loss=1.5292 | acc=0.302
[E01] b0030 | loss=1.2587 | acc=0.458
[E01] b0040 | loss=1.1122 | acc=0.604
[E01] b0050 | loss=0.9364 | acc=0.625
[E01] b0060 | loss=1.0375 | acc=0.604
[E01] b0070 | loss=1.0700 | acc=0.583
[E01] b0080 | loss=0.9155 | acc=0.583
[E01] b0090 | loss=0.8497 | acc=0.719
[E01] b0100 | loss=0.9134 | acc=0.698
[E01] b0110 | loss=0.9297 | acc=0.729
[E01] b0120 | loss=0.8453 | acc=0.729
[E01] b0130 | loss=0.9715 | acc=0.615
[E01] b0140 | loss=0.7985 | acc=0.740
[E01] b0150 | loss=0.8579 | acc=0.677
[E01] b0160 | loss=0.8446 | acc=0.656
[E01] b0170 | loss=0.7442 | acc=0.729
[E01] b0180 | loss=0.8359 | acc=0.719
[E01] b0190 | loss=0.8461 | acc=0.729
[E01] b0200 | loss=0.8739 | acc=0.646
[E01] b0210 | loss=0.9832 | acc=0.677
[E01] b0220 | loss=0.8129 | acc=0.708
[E01] b0230 | loss=0.9224 | acc=0.677
[E01] b0240 | loss=0.7646 | acc=0.750
[E01] b0250 | loss=0.9361 | acc=0.583
[E01] b0260 | loss=0.7194 | acc=0.729
[E01] b0270 | loss=0.9166 | acc=0.708
[E01] b0280 | loss=0.7733 | acc=0.750
[E01] b0290 | loss=0.8256 | acc=0.688
[E01] b0300 | loss=0.7268 | acc=0.802
[E01] b0310 | loss=0.7329 | acc=0.750
[E01] b0320 | loss=0.8887 | acc=0.656
[E01] b0330 | loss=0.7725 | acc=0.708
[E01] b0340 | loss=0.6881 | acc=0.802
[E01] b0350 | loss=0.8823 | acc=0.688
[E01] b0360 | loss=0.8930 | acc=0.719
[E01] b0370 | loss=0.7330 | acc=0.771
[E01] b0380 | loss=0.7235 | acc=0.740
[E01] b0390 | loss=0.8526 | acc=0.698
[E01] b0400 | loss=0.8593 | acc=0.698
[E01] b0410 | loss=0.7331 | acc=0.802
[E01] b0420 | loss=0.8250 | acc=0.719
[E01] b0430 | loss=0.7131 | acc=0.771
[E01] b0440 | loss=0.6979 | acc=0.792
[E01] b0450 | loss=0.7355 | acc=0.771
[E01] b0460 | loss=0.9049 | acc=0.646
[E01] b0470 | loss=0.7603 | acc=0.750
[E01] b0480 | loss=0.6978 | acc=0.781
[E01] b0490 | loss=0.8161 | acc=0.708
[E01] b0500 | loss=0.7136 | acc=0.771
[E01] b0510 | loss=0.8878 | acc=0.656
[E01] b0520 | loss=0.6294 | acc=0.802
[E01] b0530 | loss=0.7798 | acc=0.667
[E01] b0540 | loss=0.7537 | acc=0.823
[E01] b0550 | loss=0.6430 | acc=0.844
